Meal Plan,Average daily protein (g),Average daily calories,Average daily fat (g),Average daily sodium (mg),Average daily carbohydrates (g),Total weekly cost ($)
1,223.00,2475.71,98.36,2971.43,184.70,184.35
2,128.57,2473.57,121.64,2593.57,224.34,116.61
3,128.63,2550.71,144.75,2284.60,199.34,127.79
4,137.46,2417.86,138.20,3288.74,154.00,136.11
5,165.63,2348.21,106.36,2467.86,192.54,147.29
6,165.82,2344.64,119.84,3221.60,152.29,149.43
7,155.40,2337.14,131.91,2526.60,146.34,124.76
8,129.43,2332.86,157.50,1825.00,120.41,139.45
9,106.43,2286.43,136.64,2212.14,172.14,123.99
10,138.64,2279.64,141.00,2974.29,119.51,116.92
11,148.48,2165.00,90.89,1875.31,205.29,149.56
12,111.61,2161.43,113.77,1460.89,183.97,98.59
13,197.57,2150.00,58.50,3477.14,237.83,175.05
14,142.71,2149.29,129.14,2554.64,103.79,139.76
15,134.19,2148.86,92.39,2646.46,234.25,121.85
16,173.00,2139.29,94.36,3241.43,164.91,137.17
17,181.71,2136.43,108.00,3107.86,126.14,176.35
18,160.95,2130.57,87.20,2545.06,199.56,134.46
19,121.00,2119.64,102.14,1798.57,185.71,106.07
20,117.40,2086.00,84.24,2350.74,229.79,125.08
21,138.07,2083.57,66.29,2400.36,248.14,127.75
22,137.38,2064.64,71.98,2599.46,227.41,132.33
23,149.91,2049.29,114.75,2474.60,102.49,147.66
24,166.05,2047.43,71.46,2234.31,197.86,138.56
25,109.29,2045.00,98.00,2727.86,184.21,145.88
26,103.21,2038.57,107.00,3185.71,180.29,142.05
27,116.11,2024.29,141.63,1975.17,89.32,98.63
28,151.71,2017.86,99.14,2334.29,132.49,144.56
29,126.71,2015.00,80.86,2137.86,225.13,105.86
30,142.71,2008.57,85.29,2222.14,169.21,131.88
31,104.71,2007.14,105.79,2533.57,173.14,141.75
32,107.14,2000.00,94.64,2624.29,206.11,113.95
33,117.26,1994.57,108.74,1270.39,145.84,115.55
34,122.26,1984.57,107.39,2029.67,149.86,121.85
35,106.21,1976.43,120.50,1715.00,122.61,99.39
36,111.17,1960.29,113.56,1809.63,140.68,132.96
37,112.55,1958.57,70.68,2303.17,243.29,122.86
38,121.57,1957.14,86.50,1714.29,185.98,90.96
39,120.14,1920.36,76.64,1998.57,196.63,96.82
40,141.14,1905.71,98.50,1919.29,137.00,145.55
41,181.77,1883.57,73.25,2186.03,142.21,186.93
42,155.41,1881.43,92.96,2389.60,117.18,127.05
43,124.93,1870.00,103.50,2370.00,109.06,147.44
44,144.69,1860.00,82.84,2404.46,143.91,136.47
45,126.44,1859.14,65.38,2081.09,202.86,129.78
46,165.14,1855.71,75.57,3711.43,130.84,153.25
47,128.35,1835.71,69.57,2242.86,184.36,135.09
48,105.79,1835.71,92.93,2864.29,151.75,144.93
49,126.71,1830.00,97.21,1923.93,124.57,141.13
50,113.11,1829.29,75.43,2235.99,207.17,96.56
51,112.71,1803.57,86.43,2079.64,158.36,103.34
52,114.50,1795.71,76.50,2410.00,172.71,113.35
53,117.00,1793.57,74.71,1667.86,193.43,102.15
54,103.97,1777.14,75.70,1193.03,183.00,95.05
55,130.13,1772.86,91.03,2950.31,113.26,153.88
56,125.61,1764.29,91.27,1949.46,124.07,114.93
57,119.26,1761.43,55.91,2361.60,232.57,100.23
58,124.55,1760.00,66.89,2351.74,184.27,133.75
59,130.97,1757.14,49.39,1641.03,216.86,123.65
60,125.29,1749.29,90.21,1985.36,114.41,147.98
61,103.36,1735.71,48.14,2004.29,251.98,88.85
62,109.27,1730.00,84.25,2014.60,135.50,125.95
63,135.96,1728.86,89.28,1611.41,100.43,156.16
64,130.73,1723.86,53.16,2740.20,204.29,137.15
65,135.83,1706.43,51.77,1638.39,198.49,103.06
66,114.79,1686.43,58.50,2202.14,181.29,147.75
67,103.55,1680.00,75.32,1182.10,155.57,102.92
68,114.83,1670.64,72.03,1500.74,150.14,129.02
69,109.07,1654.29,54.86,2240.00,195.77,125.34
70,105.14,1649.29,84.50,2428.57,119.86,124.55
71,119.29,1629.29,45.71,2330.71,200.07,124.55
72,109.33,1623.86,79.89,2197.89,129.25,117.75
73,121.60,1616.43,62.66,1401.20,151.00,119.66
74,138.33,1611.29,55.24,1715.40,149.14,116.75
75,105.59,1601.71,70.37,1190.91,143.56,93.03
76,114.57,1600.71,55.79,2014.29,181.13,101.33
77,121.36,1596.07,41.57,1898.57,187.21,122.50
78,111.38,1587.14,60.02,2442.99,162.04,111.15
79,115.00,1575.71,72.64,2250.00,132.27,126.55
80,112.98,1561.36,40.96,2207.17,217.41,113.20
81,116.42,1550.00,70.29,1561.43,110.84,133.38
82,106.70,1545.71,81.39,2421.74,104.04,111.65
83,145.61,1540.36,47.71,2291.70,142.07,148.20
84,124.83,1510.36,54.41,1808.74,150.29,136.09
85,112.21,1509.64,70.14,2350.71,123.54,106.60
86,110.13,1487.14,70.53,1867.46,109.70,103.51
87,110.38,1475.00,63.16,1865.84,133.98,105.46
88,115.63,1471.43,68.11,2510.31,97.43,125.84
89,103.21,1470.71,52.29,2516.43,156.79,113.23
90,125.76,1448.86,47.10,2305.03,135.47,108.26
91,121.43,1432.86,50.07,2041.43,142.18,109.06
92,128.46,1414.57,32.85,2108.56,172.70,121.91
93,135.29,1410.00,54.00,2383.57,98.70,124.16
94,114.91,1409.57,53.89,2170.74,123.27,107.26
95,152.61,1405.00,34.91,2441.60,122.86,160.95
96,109.76,1392.14,51.63,2308.03,123.90,83.96
97,106.70,1353.57,28.11,1755.67,180.36,99.64
98,102.77,1297.86,43.18,1596.74,134.79,120.65
99,111.60,1157.86,42.73,1646.20,94.95,104.46
100,113.48,1121.79,20.71,616.79,118.50,126.39
